Name: NAc [GABA1], Title: Raster plot from device '574', Hist: False
 23.4 :    2 : [38, 40]
 25.5 :    1 : [38]
 27.6 :    1 : [38]
 29.7 :    1 : [38]
 31.8 :    1 : [38]
 34.1 :    1 : [38]
 36.9 :    1 : [38]
 40.6 :    1 : [38]
413.6 :    1 : [38]
413.7 :    1 : [39]
414.5 :    1 : [40]
415.7 :    1 : [38]
415.8 :    1 : [39]
416.6 :    1 : [40]
417.9 :    1 : [39]
418.7 :    1 : [38]
420.0 :    1 : [40]
421.4 :    1 : [39]
421.9 :    1 : [38]
423.4 :    1 : [40]
423.5 :    1 : [39]
424.9 :    1 : [38]
426.7 :    1 : [40]
426.9 :    1 : [39]
428.2 :    1 : [38]
429.0 :    1 : [39]
430.1 :    1 : [40]
431.5 :    1 : [38]
432.6 :    1 : [39]
433.3 :    1 : [40]
433.6 :    1 : [38]
434.7 :    1 : [39]
436.6 :    1 : [40]
437.0 :    1 : [39]
437.1 :    1 : [38]
439.2 :    1 : [38]
439.4 :    1 : [39]
439.9 :    1 : [40]
441.4 :    1 : [38]
442.0 :    1 : [40]
442.3 :    1 : [39]
443.9 :    1 : [38]
445.1 :    1 : [40]
446.8 :    1 : [38]
447.1 :    1 : [39]
448.5 :    1 : [40]
450.6 :    1 : [40]
453.9 :    1 : [40]
457.4 :    1 : [40]
459.5 :    1 : [40]
462.8 :    1 : [40]
464.9 :    1 : [40]
468.1 :    1 : [40]
470.2 :    1 : [40]
473.3 :    1 : [40]
475.4 :    1 : [40]
478.5 :    1 : [40]
480.6 :    1 : [40]
483.8 :    1 : [40]
485.9 :    1 : [40]
489.0 :    1 : [40]
492.4 :    1 : [40]
495.9 :    1 : [40]
499.4 :    1 : [40]
501.5 :    1 : [40]
504.8 :    1 : [40]
506.9 :    1 : [40]
510.0 :    1 : [40]
512.1 :    1 : [40]
515.2 :    1 : [40]
518.7 :    1 : [40]
522.0 :    1 : [40]
524.1 :    1 : [40]
527.2 :    1 : [40]
530.6 :    1 : [40]
534.0 :    1 : [40]
536.1 :    1 : [40]
539.3 :    1 : [40]
541.4 :    1 : [40]
544.6 :    1 : [40]
546.7 :    1 : [40]
550.0 :    1 : [40]
552.1 :    1 : [40]
555.3 :    1 : [40]
558.7 :    1 : [40]
562.2 :    1 : [40]
565.7 :    1 : [40]
567.8 :    1 : [40]
571.1 :    1 : [40]
573.2 :    1 : [40]
576.6 :    1 : [40]
578.7 :    1 : [40]
581.8 :    1 : [40]
583.9 :    1 : [40]
587.1 :    1 : [40]
590.7 :    1 : [40]
594.1 :    1 : [40]
596.2 :    1 : [40]
599.5 :    1 : [40]
602.8 :    1 : [40]
606.3 :    1 : [40]
609.7 :    1 : [40]
613.1 :    1 : [40]
615.2 :    1 : [40]
618.5 :    1 : [40]
621.9 :    1 : [40]
625.2 :    1 : [40]
628.7 :    1 : [40]
632.2 :    1 : [40]
634.3 :    1 : [40]
636.4 :    1 : [40]
638.5 :    1 : [40]
640.7 :    1 : [40]
643.3 :    1 : [40]
646.6 :    1 : [40]
