Name: Amygdala [Glu], Title: Raster plot from device '589', Hist: False
 29.6 :    1 : [220]
411.2 :    1 : [218]
412.6 :    1 : [219]
413.3 :    1 : [218]
414.7 :    1 : [219]
415.4 :    1 : [218]
418.1 :    1 : [219]
418.6 :    1 : [218]
420.9 :    1 : [219]
421.5 :    1 : [218]
423.7 :    1 : [219]
424.4 :    1 : [218]
426.4 :    1 : [219]
427.4 :    1 : [218]
429.3 :    1 : [219]
430.6 :    1 : [218]
432.3 :    1 : [219]
432.7 :    1 : [218]
435.2 :    1 : [219]
435.6 :    1 : [218]
438.1 :    1 : [219]
438.9 :    1 : [218]
441.2 :    1 : [219]
442.4 :    1 : [218]
444.5 :    1 : [218]
444.6 :    1 : [219]
446.6 :    1 : [218]
446.7 :    1 : [219]
448.7 :    1 : [218]
450.1 :    1 : [219]
450.8 :    1 : [218]
452.2 :    1 : [219]
452.9 :    1 : [218]
455.0 :    1 : [218]
455.7 :    1 : [219]
457.1 :    1 : [218]
457.8 :    1 : [219]
459.2 :    1 : [218]
460.0 :    1 : [219]
461.3 :    1 : [218]
462.4 :    1 : [219]
463.4 :    1 : [218]
464.5 :    1 : [219]
466.9 :    1 : [218]
468.0 :    1 : [219]
470.1 :    1 : [219]
470.3 :    1 : [218]
472.4 :    1 : [218]
473.6 :    1 : [219]
475.7 :    1 : [219]
475.8 :    1 : [218]
477.8 :    1 : [219]
477.9 :    1 : [218]
479.9 :    1 : [219]
481.5 :    1 : [218]
482.0 :    1 : [219]
483.6 :    1 : [218]
484.1 :    1 : [219]
485.7 :    1 : [218]
486.2 :    1 : [219]
487.9 :    1 : [218]
488.3 :    1 : [219]
490.0 :    1 : [218]
490.4 :    1 : [219]
492.7 :    1 : [219]
493.6 :    1 : [218]
495.6 :    1 : [219]
497.1 :    1 : [218]
499.2 :    1 : [218]
502.4 :    1 : [219]
502.7 :    1 : [218]
504.6 :    1 : [219]
504.8 :    1 : [218]
506.7 :    1 : [219]
507.0 :    1 : [218]
508.8 :    1 : [219]
509.1 :    1 : [218]
511.2 :    1 : [218]
512.3 :    1 : [219]
513.3 :    1 : [218]
514.4 :    1 : [219]
516.8 :    1 : [218]
517.6 :    1 : [219]
518.9 :    1 : [218]
519.7 :    1 : [219]
521.1 :    1 : [218]
521.8 :    1 : [219]
523.2 :    1 : [218]
525.2 :    1 : [219]
525.3 :    1 : [218]
527.3 :    1 : [219]
527.4 :    1 : [218]
529.5 :    1 : [218]
530.4 :    1 : [219]
531.6 :    1 : [218]
532.5 :    1 : [219]
533.7 :    1 : [218]
534.6 :    1 : [219]
535.8 :    1 : [218]
537.9 :    2 : [218, 219]
540.0 :    2 : [218, 219]
542.1 :    2 : [218, 219]
544.2 :    1 : [219]
544.4 :    1 : [218]
546.5 :    1 : [218]
546.7 :    1 : [219]
548.6 :    1 : [218]
549.5 :    1 : [219]
550.7 :    1 : [218]
551.7 :    1 : [219]
553.8 :    1 : [219]
554.4 :    1 : [218]
555.9 :    1 : [219]
556.5 :    1 : [218]
558.6 :    1 : [218]
559.6 :    1 : [219]
561.7 :    1 : [219]
562.1 :    1 : [218]
563.8 :    1 : [219]
564.2 :    1 : [218]
565.9 :    1 : [219]
567.7 :    1 : [218]
568.0 :    1 : [219]
569.8 :    1 : [218]
571.5 :    1 : [219]
572.1 :    1 : [218]
573.6 :    1 : [219]
574.2 :    1 : [218]
575.7 :    1 : [219]
576.3 :    1 : [218]
578.4 :    1 : [218]
579.2 :    1 : [219]
580.5 :    1 : [218]
581.3 :    1 : [219]
582.6 :    1 : [218]
583.4 :    1 : [219]
584.7 :    1 : [218]
586.8 :    1 : [218]
586.9 :    1 : [219]
589.0 :    1 : [219]
589.1 :    1 : [218]
591.1 :    1 : [219]
591.7 :    1 : [218]
595.0 :    2 : [218, 219]
597.1 :    2 : [218, 219]
599.2 :    1 : [219]
599.4 :    1 : [218]
601.3 :    1 : [219]
601.6 :    1 : [218]
603.7 :    2 : [218, 219]
605.8 :    1 : [219]
606.8 :    1 : [218]
608.9 :    1 : [218]
609.3 :    1 : [219]
611.4 :    1 : [219]
612.2 :    1 : [218]
613.7 :    1 : [219]
614.3 :    1 : [218]
616.2 :    1 : [219]
616.4 :    1 : [218]
618.6 :    1 : [218]
619.1 :    1 : [219]
621.1 :    1 : [218]
624.1 :    1 : [218]
