Name: NAc [ACh], Title: Raster plot from device '572', Hist: False
 31.2 :    1 : [14]
 31.7 :    1 : [16]
413.0 :    1 : [16]
414.7 :    1 : [15]
415.1 :    1 : [16]
416.8 :    1 : [15]
419.3 :    1 : [15]
422.7 :    1 : [15]
425.7 :    1 : [15]
428.5 :    1 : [15]
431.3 :    1 : [15]
434.2 :    1 : [15]
436.9 :    1 : [15]
439.7 :    1 : [15]
442.3 :    1 : [15]
445.0 :    1 : [15]
447.8 :    1 : [15]
450.2 :    1 : [15]
452.8 :    1 : [15]
455.2 :    1 : [15]
457.6 :    1 : [15]
460.1 :    1 : [15]
462.2 :    1 : [15]
464.4 :    1 : [15]
466.5 :    1 : [15]
468.8 :    1 : [15]
471.2 :    1 : [15]
473.3 :    1 : [15]
475.5 :    1 : [15]
477.9 :    1 : [15]
480.0 :    1 : [15]
482.2 :    1 : [15]
484.3 :    1 : [15]
486.4 :    1 : [15]
488.5 :    1 : [15]
490.6 :    1 : [15]
492.7 :    1 : [15]
494.8 :    1 : [15]
497.1 :    1 : [15]
499.6 :    1 : [15]
501.9 :    1 : [15]
504.3 :    1 : [15]
506.7 :    1 : [15]
508.8 :    1 : [15]
511.0 :    1 : [15]
513.3 :    1 : [15]
515.5 :    1 : [15]
517.8 :    1 : [15]
519.9 :    1 : [15]
522.0 :    1 : [15]
524.1 :    1 : [15]
526.2 :    1 : [15]
528.5 :    1 : [15]
530.6 :    1 : [15]
532.7 :    1 : [15]
534.8 :    1 : [15]
536.9 :    1 : [15]
539.0 :    1 : [15]
541.3 :    1 : [15]
543.4 :    1 : [15]
545.5 :    1 : [15]
547.6 :    1 : [15]
549.7 :    1 : [15]
551.8 :    1 : [15]
553.9 :    1 : [15]
556.0 :    1 : [15]
558.2 :    1 : [15]
560.5 :    1 : [15]
562.8 :    1 : [15]
565.0 :    1 : [15]
567.1 :    1 : [15]
569.3 :    1 : [15]
571.4 :    1 : [15]
573.5 :    1 : [15]
575.8 :    1 : [15]
577.9 :    1 : [15]
580.1 :    1 : [15]
582.4 :    1 : [15]
584.5 :    1 : [15]
586.8 :    1 : [15]
588.9 :    1 : [15]
591.2 :    1 : [15]
593.3 :    1 : [15]
595.5 :    1 : [15]
597.8 :    1 : [15]
600.2 :    1 : [15]
602.5 :    1 : [15]
604.6 :    1 : [15]
606.8 :    1 : [15]
609.0 :    1 : [15]
611.2 :    1 : [15]
613.6 :    1 : [15]
615.7 :    1 : [15]
618.0 :    1 : [15]
620.3 :    1 : [15]
622.4 :    1 : [15]
624.6 :    1 : [15]
627.0 :    1 : [15]
629.6 :    1 : [15]
632.5 :    1 : [15]
635.7 :    1 : [15]
639.3 :    1 : [15]
641.4 :    1 : [15]
643.5 :    1 : [15]
645.7 :    1 : [15]
648.2 :    1 : [15]
651.1 :    1 : [15]
